10986,10986,10274,1,1302,14,7,3,5,101.73,10,1.5446e-12
10529,10223,10325,1,552,3,16,8,17,0,0,0
10173,10173,10580,1,795,3,29,27,34,0,0,0
10325,10630,11037,1,906,22,12,42,74,0,0,0
11088,11088,10783,1,1579,16,7,47,116,0,0,0
11037,10834,10936,6,1075,2,40,81,142,0,0,0
10427,11037,10427,6,496,7,9,83,146,0,0,0
10173,10376,10681,6,70,11,20,88,155,0,0,0
10630,10732,10936,6,1344,18,17,101,182,0,0,0
10630,11037,11037,6,1258,11,20,115,196,0,0,0
10478,10885,10478,10,818,15,14,124,223,0,0,0
10732,10427,10223,10,1285,6,9,127,235,0,0,0
10223,11037,10936,10,15,9,71,132,273,0,0,0
10223,10936,10834,11,1139,8,17,169,298,0,0,0
10630,10936,11037,11,390,11,37,171,313,0,0,0
10325,10936,10427,11,518,32,31,189,340,0,0,0
11088,10783,10580,11,716,8,28,209,359,0,0,0
10478,10274,10986,12,1568,9,13,227,363,0,0,0
10223,10325,10529,12,1378,7,15,264,376,0,0,0
10681,10274,10376,12,399,27,16,295,394,0,0,0
10834,11037,10732,15,818,36,40,303,403,0,0,0
10783,10376,10885,15,588,3,21,327,416,0,0,0
10885,10986,11088,15,944,5,15,337,434,0,0,0
10427,10529,10732,15,1430,24,12,339,441,0,0,0
10376,10885,10885,16,1621,24,29,346,452,0,0,0
10376,10986,10783,16,638,2,25,382,479,0,0,0
10173,10580,10274,16,1051,6,8,401,485,0,0,0
10783,10173,10986,16,1282,23,8,421,493,0,0,0
10478,10376,10376,16,1235,22,22,433,500,0,0,0
10885,10274,11088,17,736,21,12,440,516,0,0,0
10986,10173,10783,17,1274,6,5,470,522,0,0,0
10834,10732,10732,17,975,12,36,477,537,0,0,0
10630,10325,10630,17,112,10,19,513,545,0,0,0
11088,10274,10478,17,945,13,12,521,560,0,0,0
10325,10325,10427,17,761,5,9,550,596,0,0,0
10936,10732,10936,20,655,12,27,557,641,0,0,0
10580,10681,10173,20,1638,5,51,567,650,0,0,0
10427,10223,10325,20,251,13,26,578,670,0,0,0
10885,10173,10783,20,1705,26,26,602,682,0,0,0
10681,10580,10478,21,658,6,10,606,687,0,0,0
10529,10529,10223,21,135,10,27,616,709,0,0,0
10173,10885,10681,21,612,13,23,624,721,0,0,0
10325,11037,10223,21,765,41,11,647,740,0,0,0
11037,10936,10630,25,804,25,11,657,749,0,0,0
10427,10834,11037,25,1563,9,9,669,761,0,0,0
10223,10732,11037,25,1284,2,10,708,781,0,0,0
10173,10274,10580,25,536,10,16,720,821,0,0,0
10630,10427,10834,25,1032,13,15,748,831,0,0,0
10936,11037,10529,26,760,21,18,759,862,0,0,0
10783,10783,10580,26,1284,7,15,772,892,0,0,0
10478,10580,10376,26,348,8,12,789,902,0,0,0
10274,10173,10885,26,1097,14,14,829,931,0,0,0
10732,10325,10325,26,1361,2,16,861,945,0,0,0
10223,10630,10936,26,770,10,16,870,967,0,0,0
10834,10223,10223,26,549,20,12,873,974,0,0,0
10325,10834,10325,29,600,22,18,937,985,0,0,0
10478,10783,11088,29,79,6,7,958,1002,0,0,0
10732,10529,11037,29,1276,14,42,979,1040,0,0,0
10732,11037,10325,29,1206,8,25,995,1050,0,0,0
10986,10580,10478,31,1432,7,7,1015,1079,0,0,0
10223,10834,10427,31,999,13,16,1047,1090,0,0,0
10681,10376,10478,32,1244,10,23,1054,1103,0,0,0
10783,10681,10783,32,63,12,10,1078,1108,0,0,0
11037,10427,10325,32,1177,33,7,1088,1116,0,0,0
